BikeID,Duration,Start date,End date,Start station number,Start_station,End station number,End station,Bike number,Member type
525151,311,03/01/2018 10:13,03/01/2018 10:18,31603,1st & M St NE,31624,North Capitol St & F St NW,W20451,Member
525152,289,03/01/2018 10:13,03/01/2018 10:18,31211,Kennedy Center,31205,21st & I St NW,W00304,Member
525153,225,03/01/2018 10:13,03/01/2018 10:17,31047,Braddock Rd Metro,31097,Saint Asaph & Madison St,W21512,Member
525154,236,03/01/2018 10:13,03/01/2018 10:17,31091,S Joyce & 16th St S,31001,18th & Eads St.,W20801,Member
525155,2878,03/01/2018 10:14,03/01/2018 11:02,31295,Potomac & M St NW,31225,C & O Canal & Wisconsin Ave NW,W21215,Member
525156,1954,03/01/2018 10:14,03/01/2018 10:46,31208,M St & New Jersey Ave SE,31208,M St & New Jersey Ave SE,W20975,Member
525157,209,03/01/2018 10:14,03/01/2018 10:17,31223,Convention Center / 7th & M St NW,31241,Thomas Circle,W22116,Member
525158,420,03/01/2018 10:14,03/01/2018 10:21,31241,Thomas Circle,31216,14th St & New York Ave NW,W22972,Member
525159,631,03/01/2018 10:15,03/01/2018 10:26,31615,6th & H St NE,31512,Neal St & Trinidad Ave NE,W21386,Member
525160,174,03/01/2018 10:16,03/01/2018 10:19,31024,Virginia Square Metro / N Monroe St & 9th St N,31039,Wilson Blvd & N Quincy St,W00856,Member
525161,156,03/01/2018 10:17,03/01/2018 10:20,32048,Bethesda Metro,32000,Norfolk Ave & Fairmont St,W00859,Member
525162,1369,03/01/2018 10:17,03/01/2018 10:40,31288,4th St & Madison Dr NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W21774,Casual
525163,535,03/01/2018 10:17,03/01/2018 10:26,31203,14th & Rhode Island Ave NW,31224,19th & L St NW,W22895,Member
525164,1346,03/01/2018 10:17,03/01/2018 10:40,31288,4th St & Madison Dr NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W21942,Casual
525165,698,03/01/2018 10:17,03/01/2018 10:29,31108,4th & M St SW,31624,North Capitol St & F St NW,W20031,Member
525166,292,03/01/2018 10:17,03/01/2018 10:22,31097,Saint Asaph & Madison St,31047,Braddock Rd Metro,W01209,Member
