BikeID,Duration,Start date,End date,Start station number,,End station number,End station,Bike number,Member type
528777,248,01/01/2018 08:58,01/01/2018 09:03,31104,Adams Mill & Columbia Rd NW,31116,California St & Florida Ave NW,W00661,Member
528778,121,01/01/2018 08:59,01/01/2018 09:01,31616,3rd & H St NE,31615,6th & H St NE,W23142,Member
528779,103,01/01/2018 09:04,01/01/2018 09:06,31123,14th & Girard St NW,31117,15th & Euclid St  NW,W21113,Member
528780,225,01/01/2018 09:07,01/01/2018 09:11,31622,13th & D St NE,31612,D St & Maryland Ave NE,W00533,Member
528781,1035,01/01/2018 09:11,01/01/2018 09:28,31508,Gallaudet / 8th St & Florida Ave NE,31203,14th & Rhode Island Ave NW,W22648,Member
528782,488,01/01/2018 09:11,01/01/2018 09:19,31102,11th & Kenyon St NW,31229,New Hampshire Ave & T St NW,W21370,Member
528783,476,01/01/2018 09:11,01/01/2018 09:19,31102,11th & Kenyon St NW,31229,New Hampshire Ave & T St NW,W23286,Member
528784,938,01/01/2018 09:11,01/01/2018 09:27,31115,Columbia Rd & Georgia Ave NW,31270,8th & D St NW,W23406,Member
528785,489,01/01/2018 09:13,01/01/2018 09:21,31645,6th & K St NE,31265,5th St & Massachusetts Ave NW,W01005,Member
528786,369,01/01/2018 09:17,01/01/2018 09:23,31300,Van Ness Metro / UDC,31307,3000 Connecticut Ave NW / National Zoo,W22397,Member
528787,366,01/01/2018 09:23,01/01/2018 09:29,31221,18th & M St NW,31110,20th St & Florida Ave NW,W21750,Member
528788,84049,01/01/2018 09:25,02/01/2018 08:46,31214,17th & Corcoran St NW,31229,New Hampshire Ave & T St NW,W21384,Member
528789,3578,01/01/2018 09:26,01/01/2018 10:25,31212,21st & M St NW,31212,21st & M St NW,W21334,Casual
528790,321,01/01/2018 09:26,01/01/2018 09:32,31233,17th & K St NW / Farragut Square,31214,17th & Corcoran St NW,W22946,Member
528791,772,01/01/2018 09:27,01/01/2018 09:40,31069,Pershing & N George Mason Dr,31022,Clarendon Metro / Wilson Blvd & N Highland St,W23065,Member
528792,492,01/01/2018 09:27,01/01/2018 09:35,31266,11th & M St NW,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W22187,Member
528793,119,01/01/2018 09:29,01/01/2018 09:31,31202,14th & R St NW,31203,14th & Rhode Island Ave NW,W22336,Member
528794,252,01/01/2018 09:32,01/01/2018 09:37,31280,11th & S St NW,31214,17th & Corcoran St NW,W00108,Member
528795,547,01/01/2018 09:32,01/01/2018 09:42,31280,11th & S St NW,31281,8th & O St NW,W21604,Member
528796,816,01/01/2018 09:33,01/01/2018 09:46,31628,1st & K St SE,31624,North Capitol St & F St NW,W20852,Member
528797,633,01/01/2018 09:34,01/01/2018 09:45,31203,14th & Rhode Island Ave NW,31246,M St & Pennsylvania Ave NW,W22336,Member
528798,322,01/01/2018 09:36,01/01/2018 09:42,31519,1st & O St NW,31281,8th & O St NW,W01083,Member
528799,418,01/01/2018 09:40,01/01/2018 09:47,31224,19th & L St NW,31278,18th & R St NW,W21628,Member
528800,1301,01/01/2018 09:43,01/01/2018 10:04,31800,Alabama & MLK Ave SE,31800,Alabama & MLK Ave SE,W21690,Member
528801,230,01/01/2018 09:46,01/01/2018 09:50,31299,Connecticut Ave & R St NW,31239,Rhode Island & Connecticut Ave NW,W21246,Member
528802,286,01/01/2018 09:47,01/01/2018 09:51,31600,5th & K St NW,31281,8th & O St NW,W20631,Member
528803,292,01/01/2018 09:49,01/01/2018 09:54,31101,14th & V St NW,31109,7th & T St NW,W22878,Member
528804,776,01/01/2018 09:51,01/01/2018 10:04,31286,11th & O St NW,31272,Washington & Independence Ave SW/HHS,W00633,Member
